Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
1.6807494,1.311839,1.4389412,1.2618623,0.61016136,4,2,3,5,4,3,5,3,3,4,2,2,1.15444
1.6807494,1.2768395,1.9654257,1.726021,1.7934666,4,2,3,5,4,3,5,1,2,4,2,2,0.675357
0.9912554,1.958884,1.4489868,1.0588026,1.0494254,4,3,2,5,5,5,4,4,4,5,4,2,1.29081
1.3330806,0.95365596,0.8296052,1.9183114,1.5093985,4,4,2,4,2,2,3,2,5,2,2,2,1.40993
1.6146212,0.8418581,1.4630605,0.93526626,1.7173994,5,3,5,5,4,4,5,3,4,5,3,2,2.23327
0.95210147,1.9918684,0.840434,1.2833656,0.849648,4,3,1,4,1,4,1,1,3,4,3,2,2.29481
1.2466298,0.7693,0.7231662,0.5182149,0.6481949,5,5,5,2,2,3,2,5,5,4,5,1,3.30746
1.9539474,1.6862261,1.1299906,0.791551,1.0169683,3,1,4,2,1,3,1,1,1,1,4,1,1.18366
1.6160705,1.2444822,1.5802301,1.3915354,1.5620838,5,1,3,3,2,4,4,2,1,3,5,1,0.663495
1.4459505,1.9827728,1.5278696,1.9137254,1.3572305,4,3,2,5,2,4,4,3,2,4,1,2,1.20672
1.0335687,1.6235548,1.8745999,1.6735917,1.2372402,1,1,5,5,2,5,5,5,5,2,3,2,1.63137
1.1054,0.9330666,1.2405901,1.0588026,1.1515787,4,3,1,2,4,5,1,2,1,2,5,2,1.12219
1.9140984,0.90410894,1.379876,1.7244129,0.877573,5,3,4,3,1,2,4,1,5,3,5,2,1.0061
0.65113664,0.7933997,1.6666982,0.5855384,1.1204655,5,4,5,5,5,1,3,1,4,5,5,2,2.83048
1.2047127,1.3579671,1.8595126,1.9421757,0.86243135,2,2,3,4,1,4,2,5,5,4,4,2,1.3552
1.8878986,1.3152608,0.9145309,0.7962425,0.85474,5,5,1,2,2,5,2,5,3,2,3,1,2.19615
0.59142065,1.3234761,1.806947,1.7669694,1.8269376,4,1,2,4,3,3,3,5,2,5,3,1,0.682234
1.8129296,1.9316038,1.1931196,1.5025011,1.4261756,4,5,5,2,3,5,4,5,5,5,5,1,1.26084
1.3846667,1.2444822,1.5907543,1.1578511,0.63151336,5,1,4,5,4,4,2,3,1,1,1,2,1.45135
1.6567316,1.0618047,0.64377123,1.7379296,1.1962674,4,2,1,3,3,1,1,4,4,3,4,1,1.52738
1.3868283,1.8348532,1.2881266,1.4390752,1.4399314,5,1,2,5,4,1,2,3,3,4,5,2,0.842022
1.1615005,1.311839,1.4389412,1.1897193,0.61016136,5,3,3,5,1,3,2,1,4,4,5,2,1.44512
1.4053473,0.8079793,1.0920476,0.7962425,0.8028157,4,3,3,4,2,4,4,4,4,1,1,2,2.99952
1.6168754,1.7423469,0.6605543,1.0294895,1.0881103,3,4,4,1,2,5,5,3,4,5,3,2,1.09373
1.2047127,1.916234,1.8595126,1.9421757,1.3192825,2,1,3,3,2,4,4,2,1,3,3,2,0.544868
1.423946,1.9380493,1.5356566,1.8141847,1.6388621,3,4,5,5,5,4,2,4,2,4,4,2,0.840207
0.87729704,0.76498926,1.4630605,1.3773776,1.7173994,5,4,5,5,4,2,1,4,1,5,3,2,1.10885
0.58944607,1.9074383,1.889811,0.77218306,1.0677334,2,2,2,2,5,4,2,5,2,3,3,2,1.28905
1.1930096,1.4813708,1.820169,0.5600673,1.8269376,1,4,2,2,4,3,1,4,4,1,4,2,1.06181
1.0328238,1.8125856,1.5980604,0.9699504,0.911735,2,1,3,2,3,1,4,2,5,3,3,2,0.692976
